reviewId,app_name,content,sentiment_polarity,sentiment,
01e23c15-44bf-46b7-b280-40e880d9d49b,Shopee,"O app da Shopee é razoável. Apesar de ser fácil de utilizar, apresenta alguns bugs. Por exemplo: Sugestão de palavra errada no campo de pesquisa que acarreta na busca errada. Sugestões de produtos que não têm nada a ver com coisas de nosso interesse. Dificuldade de acesso de alguns jogos ou travamento durante alguma jogada. Falhas para carregar certos anexos para avaliação dos produtos. No geral, são problemas que se pode contornar, pois não ocorrem com tanta frequência.",positive,sadness,
df40ba7c-075d-48dc-b798-21466dfb41d6,Shopee,"O app é bem otimizado, fácil de visualizar os produtos, pedidos e rastreio, interface intuitiva, porém existem incômodos, acho que o principal é a má recomendação de produtos, as vezes aparece uns produtos que não deveriam aparecer e que não tem nada a ver com o pesquisado até então, (como brinquedos sexuais), me incomoda um pouco isso porém não atrapalha por completo a utilização do app. No geral o app é muito bom e a loja em geral também faz um bom trabalho.",positive,sadness,
59490b23-b17b-4bba-855b-b5053dadc0db,Shopee,"O app é muito bom, prático e fácil de entender, porém alguns vendedores mandam produtos que, apesar de bem semelhantes ao anúncio, ainda tem lá suas diferenças. E em celulares fracos, como o meu, tem vezes que o app fecha sozinho ou trava, chegando a nem abrir as vezes, poderia ser mais leve e otimizado para dispositivos fracos. Mas fora isso o app é ótimo! Excelentes produtos e simples de usar.",positive,sadness,
48fd8168-1e42-4475-9a99-935c2fd48769,Shopee,"Aplicativo muito bom. Mas algo que me chateou bastante foi o fato de que ao pesquisar um produto e colocar o CEP aparece que o frete é grátis ou bem baratinho e que acima de 10,00 o frete é gratuito. Mas comprei 4 produtos de valores altos e quando coloquei no carrinho e fechei o pedido apareceu valores altos de frete. Deu vontade de desistir da compra, mas como precisava muito acabei comprando. Acho que deveriam informar o valor correto do frete no momento da pesquisa, quando colocamos o CEP.",positive,sadness,
f4e1468b-6d97-4f1a-927d-1afee2bfbe75,Shopee,"o app é muito bom, porém tenho tido dificuldades para pagamento no cartão de crédito após fazer compra no pix. Eu altero o meio de pagamento porém quando chega na parte de colocar o código do cartão trava e não sai daquela área... já deixei de fazer muitas compras por conta disso. Se puderem concertar esse bug séria ótimo para nós consumidores.",negative,disgust,
2ce2db50-eec3-4cf5-afd6-b153ca01cf0f,Shopee,"É muito bom esse app, porém ele fica travando um pouco até mesmo na hora de concluir a compra, aí precisa sair e entrar novamente. Precisaria melhor a plataforma. Mas no mais é bom! Passando para dizer que houve melhoras, finalização da compra está super rápida e adorei a opção de parcelar!😃",positive,happiness,
404d8ede-bf3e-4652-a410-ec1ad12e40df,Shopee,"Tenho gostado bastante do app. Acredito que em decorrência das atualizações, o app parou de travar durante a sua inicialização. Neste momento, inicio o app com muita agilidade. Quanto aos produtos, consigo encontrar excelentes preços e qualidades também!",positive,happiness,
0d7c4353-a8f6-467c-abd7-c65b26fd4976,Shopee,"Adoro, tudo que você pensar tem e as promoções de frete são o diferencial desse app. As pessoas colaboram muito no sentido de avaliar os produtos com fotos e vídeos, além dos comentários, o que facilita identificar a qualidade na hora de escolher o que comprar. Já fiz várias compras e, na grande maioria, fiquei muito satisfeita.",positive,happiness,
5410fc9e-d51f-4f6f-9fdc-01b93eed8750,Shopee,"O app é muito bom,algumas mercadorias são realmente de qualidade e preço justo.Chega no prazo,as vezes antes. Mas agora me peguei tentando rastrear um pedido que fiz,e não sei como faz 😔,pelo site dos correios não aceita pq o número de rastreamento é fora do padrão,uma vez que estava marcado pra chegar em uma data e agora mudou radicalmente. Se tiver alguém que saiba sobre esse rastreamento. No mais,estou gostando,comprei muitas coisas de qualidade.",positive,sadness,
31458c8f-8f11-496f-b72e-dacc9470a52f,Shopee,"Estava com problema inicial de não conseguir enviar mensagens no chat, para tirar dúvidas sobre os produtos, com os vendedores. Abri Ajuda, fiz todos os passos das orientações e atendimento, e tive que desistalar e reinstalar o APP para funcionar, porém funcionou somente naquele mesmo dia, no dia seguinte, voltou o problema (terça). Também tentei reclamar de um produto que recebi e não consigo pois o chat não vai. Hoje já reinstalei 4 vezes o app e não reconhece o código por Whatsapp, ou por SMS",negative,anger,
