reviewId,app_name,content,sp_ordinal,sentiment_binary
01e23c15-44bf-46b7-b280-40e880d9d49b,Shopee,app shopee razoável apesar fácil utilizar apresenta alguns bugs exemplo sugestão palavra errada campo pesquisa acarreta busca errada sugestões produtos têm nada ver coisas interesse dificuldade acesso alguns jogos travamento durante alguma jogada falhas carregar certos anexos avaliação produtos geral problemas pode contornar pois ocorrem tanta frequência,0,10
df40ba7c-075d-48dc-b798-21466dfb41d6,Shopee,app bem otimizado fácil visualizar produtos pedidos rastreio interface intuitiva porém existem incômodos acho principal má recomendação produtos vezes aparece uns produtos deveriam aparecer nada ver pesquisado então brinquedos sexuais incomoda pouco porém atrapalha completo utilização app geral app bom loja geral faz bom trabalho,0,10
59490b23-b17b-4bba-855b-b5053dadc0db,Shopee,app bom prático fácil entender porém alguns vendedores mandam produtos apesar bem semelhantes anúncio ainda lá diferenças celulares fracos vezes app fecha sozinho trava chegando abrir vezes poderia leve otimizado dispositivos fracos app ótimo excelentes produtos simples usar,0,10
48fd8168-1e42-4475-9a99-935c2fd48769,Shopee,aplicativo bom algo chateou bastante fato pesquisar produto colocar cep aparece frete grátis bem baratinho acima frete gratuito comprei produtos valores altos coloquei carrinho fechei pedido apareceu valores altos frete deu vontade desistir compra precisava acabei comprando acho deveriam informar valor correto frete momento pesquisa colocamos cep,0,10
f4e1468b-6d97-4f1a-927d-1afee2bfbe75,Shopee,app bom porém tido dificuldades pagamento cartão crédito após fazer compra pix altero meio pagamento porém chega parte colocar código cartão trava sai daquela área deixei fazer muitas compras conta disso puderem concertar bug séria ótimo consumidores,1,100000
2ce2db50-eec3-4cf5-afd6-b153ca01cf0f,Shopee,bom app porém fica travando pouco hora concluir compra aí precisa sair entrar novamente precisaria melhor plataforma bom passando dizer melhoras finalização compra super rápida adorei opção parcelar,0,1000
404d8ede-bf3e-4652-a410-ec1ad12e40df,Shopee,gostado bastante app acredito decorrência atualizações app parou travar durante inicialização neste momento inicio app muita agilidade quanto produtos consigo encontrar excelentes preços qualidades,0,1000
0d7c4353-a8f6-467c-abd7-c65b26fd4976,Shopee,adoro tudo pensar promoções frete diferencial desse app pessoas colaboram sentido avaliar produtos fotos vídeos além comentários facilita identificar qualidade hora escolher comprar fiz várias compras grande maioria fiquei satisfeita,0,1000
5410fc9e-d51f-4f6f-9fdc-01b93eed8750,Shopee,app bom algumas mercadorias realmente qualidade preço justo chega prazo vezes antes agora peguei tentando rastrear pedido fiz sei faz site correios aceita pq número rastreamento padrão vez marcado pra chegar data agora mudou radicalmente alguém saiba sobre rastreamento gostando comprei muitas coisas qualidade,0,10
31458c8f-8f11-496f-b72e-dacc9470a52f,Shopee,problema inicial conseguir enviar mensagens chat tirar dúvidas sobre produtos vendedores abri ajuda fiz todos passos orientações atendimento desistalar reinstalar app funcionar porém funcionou somente naquele dia dia seguinte voltou problema terça tentei reclamar produto recebi consigo pois chat vai hoje reinstalei vezes app reconhece código whatsapp sms,1,1000000
980c8f5e-71ec-4a51-8f37-00592e7905d1,Shopee,pra mim melhor shopping online surgiu respeita cliente consumidor todos aspectos tempo entrega excelente vários benefícios infinidade lojas produtos ainda site super fácil entender complicações trava tudo funciona bem,0,1000
fbd2a876-9f0f-4abe-82f9-f4b17fd8971e,Shopee,serviço varejo bom sistema frete ótimo funciona bem muitos produtos bons recomendo comprem sempre início setembro pois data aniversário shopee muitas promoções ótimo aplicativo problemas nenhuma compra ate agora,0,1000
d53d8ea8-0586-4b4f-bafa-2a110d80d5a3,Shopee,compro medo receber produtos entrega rápido gostando alguns vezes aparece app entregue ter sido fato outro dia dois dias vem entregar fico dúvida algum vizinho recebeu repassou erro precisa corrigido rápido,0,10
d52df159-2657-462b-a165-de72f0f5c262,Shopee,app bom recomendo sempre comprei nunca deu nenhum problema único defeito vc têm opção comprar qualquer coisa cores diferentes mesma loja vc têm colocar cada vez carrinho shopee poderia colocar opção quantidades variações ficaria melhor fazer compras ajudaria clientes compras dou estrelas motivo chato deveriam ter resolvido tempos,0,10
c4a26416-86f6-4d88-8a33-5bdfdf26af5c,Shopee,aplicativo bom fácil usar tudo tipo produtos asiático fez muita falta q podia arrumado opçãos hora compra exemplo quero comprar máscara facial vários opções posso escolher compra caso tipo específico posso comprar dois diferentes dois iguais podia arrumado queria fazer duas compras pra escolher outro tipo,0,10
7fa37459-3d10-4a60-895d-ff19fbd0a429,Shopee,grande variedade produtos vendedores atenciosos único problema sido entregas principalmente feita transportadora compra nacional demorando entregue maioria vezes retorno suporte shopee rápido reembolso necessário super rápido,0,10
ad73e357-79b9-4084-b391-24be9da1c4b8,Shopee,alguns fretes tão caros cupom frete grátis ajuda caso fretes acima r deveriam cupons frete gratis r menos r geral r resolve ajuda vezes algum produto vem problemas sempre percebo primeiro momento geral produtos bons maioria entregas rápida algumas demoram bastante enfim vale pena vou continuar comprando,0,10
d0ee0189-2ce1-4f63-b1f4-e286b8a2ff26,Shopee,tô gostando comprar shopee sinto q ultimamente esforçando pra melhorar cada vez atendimento coisas q aconteciam demorar vir faltando itens acontecido melhorou relação cupons frete facilitou demais esquema frete grátis partir comprado frequência agora causa disso love shopee,0,1000
9fbaece5-0d55-4cda-98c7-86abf75314ef,Shopee,princípio funcionava tudo bem menos uns meses consigo efetuar compra nenhum cartão crédito porque simplesmente aparece hora escolho forma pagamento entrei contato através chat deram várias orientações tentar resolver apagar cache atualizar versão desinstalar instalar novamente tentar usar conta outro aparelho outras coisas simplesmente consigo ninguém resolve desisto,1,1000000
2854eefb-e6d9-48ca-82e9-07abfda0c500,Shopee,longe melhor app compras nacional internacional alguns detalhes precisam mudar necessário opinião criação botão voltar página incial várias vezes navegando produtos sequência tento acessar página voltar todos produtos fechar app abrir novo cansativo,0,10
